user,word_length,completed_words,remaining_words,total_words
Bhavi,2,50,0,50
Bhavi,3,291,0,291
Bhavi,4,705,0,705
Bhavi,5,571,34,605
Bhavi,6,268,201,469
Bhavi,7,73,353,426
Bhavi,8,38,230,268
Bhavi,9,22,140,162
Bhavi,10,11,113,124
Bhavi,11,8,63,71
Bhavi,12,1,26,27
Bhavi,13,0,11,11
Bhavi,14,1,7,8
Bhavi,15,0,1,1
Madhu,2,80,0,80
Madhu,3,254,0,254
Madhu,4,49,557,606
Madhu,5,1,448,449
Madhu,6,2,299,301
Madhu,7,1,221,222
Madhu,8,0,138,138
Madhu,9,0,73,73
Madhu,10,0,43,43
Madhu,11,0,23,23
Madhu,12,0,9,9
Madhu,13,0,7,7
Madhu,15,0,2,2
